Package CNVassoc version 2.2
Package built using 73707/R 3.5.0; x86_64-pc-linux-gnu; 2017-11-10 16:19:57 UTC; unix   
Checked with rchk version 63f79d910f5835174fcaa5a0a7d2409348f7d2ac
More information at https://github.com/kalibera/cran-checks/blob/master/rchk/PROTECT.md

Function NRinterlogistic
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:78
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:79
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:80
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:81
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:88
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:92
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogistic.c:94
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:104
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:109
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:109
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:115
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:115
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogistic.c:115

Function NRinterlogisticcov
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:81
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:82
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:87
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:89
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:94
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:95
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterlogisticcov.c:97
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:107
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:112
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:112
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:118
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:118
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRinterlogisticcov.c:118

Function NRinterweibull
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:78
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:79
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:80
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:81
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:88
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:92
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibull.c:94
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:104
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:109
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:109
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:115
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:115
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibull.c:115

Function NRinterweibullcov
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:85
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:88
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:89
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:93
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:96
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:97
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:99
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:109
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:114
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:114
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120

Function NRlogistic
