Package EMCluster version 0.2-11
Package built using 76210/R 3.6.0; x86_64-pc-linux-gnu; 2019-03-08 02:53:24 UTC; unix   
Checked with rchk version c132302c5d39a55c436a06df73e539a1bace7486
More information at https://github.com/kalibera/cran-checks/blob/master/rchk/PROTECT.md

Function create_emptr
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:56
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:57
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:57
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:58
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:58
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:58
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:59
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:59
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:59
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:59
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:60
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:60
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:60
  [UP] unprotected variable nc while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:60
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:60
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable class while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable nc while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:61
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable class while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable conv_iter while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable nc while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:62
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable class while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable conv_eps while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable conv_iter while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable nc while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:63
  [UP] unprotected variable LTSigma while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable Mu while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable class while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable conv_eps while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable conv_iter while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable llhdval while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable nc while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable pi while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable ret while calling allocating function Rf_allocVector EMCluster/src/it_R_emptr.c:64
  [UP] unprotected variable LTSigma while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable Mu while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable class while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable conv_eps while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable conv_iter while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable llhdval while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable nc while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable pi while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable ret while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable ret_names while calling allocating function Rf_mkChar EMCluster/src/it_R_emptr.c:77
  [UP] unprotected variable LTSigma while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable Mu while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable class while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable conv_eps while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable conv_iter while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable llhdval while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable nc while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
  [UP] unprotected variable pi while calling allocating function Rf_setAttrib(V,S:names,V) EMCluster/src/it_R_emptr.c:79
