Package corpus version 0.9.1
Package built using 73252/R 3.5.0; x86_64-pc-linux-gnu; 2017-09-14 05:09:24 UTC; unix   
Checked with rchk version b118bbcfd496724b04ea20eaa5e1eeeb8635c2dd

Function term_matrix_text
  [UP] unprotected variable srow_names while calling allocating function alloc_context corpus/src/term_matrix.c:182
  [UP] unprotected variable srow_names while calling allocating function as_context corpus/src/term_matrix.c:183
  [UP] unprotected variable srow_names while calling allocating function context_init.174 corpus/src/term_matrix.c:184
  [UP] unprotected variable srow_names while calling allocating function R_CheckUserInterrupt corpus/src/term_matrix.c:187
  [UP] unprotected variable srow_names while calling allocating function corpus_filter_start corpus/src/term_matrix.c:200
  [UP] unprotected variable srow_names while calling allocating function corpus_filter_advance corpus/src/term_matrix.c:203
  [UP] unprotected variable srow_names while calling allocating function corpus_ngram_add corpus/src/term_matrix.c:212
  [UP] unprotected variable srow_names while calling allocating function R_CheckUserInterrupt corpus/src/term_matrix.c:222
  [UP] unprotected variable srow_names while calling allocating function corpus_termset_has corpus/src/term_matrix.c:231
  [UP] unprotected variable srow_names while calling allocating function corpus_termset_add corpus/src/term_matrix.c:237
  [UP] unprotected variable srow_names while calling allocating function Rf_allocVector corpus/src/term_matrix.c:247
  [UP] unprotected variable srow_names while calling allocating function Rf_allocVector corpus/src/term_matrix.c:248
  [UP] unprotected variable srow_names while calling allocating function Rf_allocVector corpus/src/term_matrix.c:249
  [UP] unprotected variable srow_names while calling allocating function R_CheckUserInterrupt corpus/src/term_matrix.c:254
  [UP] unprotected variable srow_names while calling allocating function corpus_termset_has corpus/src/term_matrix.c:262
  [UP] unprotected variable srow_names while calling allocating function Rf_allocVector corpus/src/term_matrix.c:274
  [UP] unprotected variable srow_names while calling allocating function R_CheckUserInterrupt corpus/src/term_matrix.c:278
  [UP] unprotected variable srow_names while calling allocating function corpus_filter_type corpus/src/term_matrix.c:284
  [UP] unprotected variable srow_names while calling allocating function corpus_render_char corpus/src/term_matrix.c:286
  [UP] unprotected variable srow_names while calling allocating function corpus_render_text corpus/src/term_matrix.c:288
  [UP] unprotected variable srow_names while calling allocating function Rf_mkCharLenCE corpus/src/term_matrix.c:292
  [UP] unprotected variable srow_names while calling allocating function Rf_allocVector corpus/src/term_matrix.c:299
