Abc384_1	7048	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
27135	8327	11541	15371	9109	7654	10998	9231	6797	10980	9763	9814	8525	7494	4707	11231	13753	12536	4913	6954	13391	15132	24893	18890
6679	2102	3820	4090	4552	3929	9341	8130	3155	9441	5047	5830	2251	3166	4175	4694	1925	5215	6625	2368	6613	4084	3506	6736
591	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
5384	6709	2627	8453	2212	7294	5469	7336	2685	3411	3046	3269	4538	4551	3017	2200	3302	3026	960	3472	3222	2227	4663	12772
26033	11285	17138	10877	11291	6668	1799	8249	7803	10937	8156	7150	5084	3215	4369	5068	3702	6079	4506	8354	25108	25521	10924	24515
6466	3809	1236	5766	2280	3082	1161	1016	2884	1808	923	1524	2707	1387	1621	863	1381	1887	2345	3154	3717	1349	4845	8057
591	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
7505	3404	2953	1160	6271	4144	1408	851	1148	3524	1373	3329	1103	2592	2494	2459	1177	692	1175	1557	3255	2521	1211	6761
26033	11285	17138	10877	11291	6668	1799	8249	7803	10937	8156	7150	5084	3215	4369	5068	3702	6079	4506	8354	25108	25521	10924	24515
12480	3200	666	5858	5962	1673	626	1138	2735	2047	1948	813	1843	3456	2055	1679	2716	2796	1988	926	1463	1215	3127	11195
591	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
3928	3179	5914	7780	4115	3398	3785	1946	3583	3201	2558	2731	1697	1160	1219	2400	1643	4280	4763	3835	2916	3778	5150	5766
26033	11285	17138	10877	11291	6668	1799	8249	7803	10937	8156	7150	5084	3215	4369	5068	3702	6079	4506	8354	25108	25521	10924	24515
24452	10825	3243	6002	4905	3285	5601	5007	5360	5063	4599	1675	3319	4541	2900	3153	5755	2799	2623	6493	6909	10969	5437	10141
26033	11285	17138	10877	11291	6668	1799	8249	7803	10937	8156	7150	5084	3215	4369	5068	3702	6079	4506	8354	25108	25521	10924	24515
38016	30294	19836	13224	13733	29955	4674	14145	30842	27154	15761	22825	17042	21500	8209	33250	13227	26398	9936	11051	22987	30309	17500	25981
Abc384_1	7048	FluoOptima	FMCA 384 1000	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
65000	28694	38563	49771	30783	26245	36767	31437	23407	36504	32678	32922	28534	25627	16224	37690	44408	41139	17107	23732	43541	49057	65000	58979
26033	11285	17138	10877	11291	6668	1799	8249	7803	10937	8156	7150	5084	3215	4369	5068	3702	6079	4506	8354	25108	25521	10924	24515
37865	20043	10927	13074	13137	12682	6516	12281	8004	10956	5006	10248	7033	11154	11307	11217	11132	13474	12414	13091	5105	11183	16194	37993
18794	23775	9226	28844	7843	24988	18841	25171	9406	12074	10586	11157	15765	15658	10404	7720	11448	10516	3475	12066	11089	7849	16043	42004
21072	7042	12919	11206	3974	6478	5577	3253	3461	5342	3046	7142	5819	7906	4336	7767	3659	5359	6960	11622	3541	13253	16925	28716
22909	13546	4500	19943	8136	10742	4247	3666	10149	6394	3306	5460	9736	4917	5779	3097	4915	6612	8162	11182	13136	4862	17116	27696
18794	23775	9226	28844	7843	24988	18841	25171	9406	12074	10586	11157	15765	15658	10404	7720	11448	10516	3475	12066	11089	7849	16043	42004
26040	12245	10420	4180	21711	14536	5070	3088	4172	12275	4865	11782	4004	9060	8831	8645	4215	2506	4212	5675	11434	8862	4317	23550
49358	14277	3267	5724	2552	6053	1941	3571	2128	4213	1805	5431	5097	7472	7442	5931	10451	15354	5289	5231	6421	13115	5330	13116
18794	23775	9226	28844	7843	24988	18841	25171	9406	12074	10586	11157	15765	15658	10404	7720	11448	10516	3475	12066	11089	7849	16043	42004
39873	15539	12488	6086	5330	13710	3592	3098	7648	14036	1741	4115	2545	5279	5264	5807	3035	3451	16014	9769	5075	7460	11757	25010
13942	11212	20353	26679	14283	11953	13174	6779	12561	11178	8994	9565	6002	4129	4359	8493	5793	14797	16593	13346	10183	13426	17887	20035
45499	6432	12814	9845	15192	3231	2995	8948	9592	12150	9359	5035	4763	6602	3287	11459	3345	13416	3178	9872	17145	24968	13607	27216
18794	23775	9226	28844	7843	24988	18841	25171	9406	12074	10586	11157	15765	15658	10404	7720	11448	10516	3475	12066	11089	7849	16043	42004
65000	37185	54983	36239	37248	22986	6443	27574	26780	37040	27934	24355	17157	11083	15295	17752	12719	20625	15264	28332	65000	65000	36289	65000
65000	65000	62174	43727	44710	65000	16321	46004	65000	65000	51033	65000	54462	65000	27985	65000	43230	65000	32872	36546	65000	65000	55236	65000
Abc384_2	7049	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
105	96	9738	8573	7938	10094	7546	6802	6884	7024	7502	7167	7789	8191	7339	8970	7898	8614	7837	9350	7632	8730	6675	7714
91	92	8130	9157	6826	8866	8648	6286	7480	6946	8170	7211	7492	4079	8296	8952	9044	7660	7837	9136	6635	8220	6220	6177
151	97	127	137	184	1041	2255	9532	197	6916	9128	9946	7243	9890	8848	9028	7974	8398	6738	8184	9005	8184	8851	9297
91	92	8130	9157	6826	8866	8648	6286	7480	6946	8170	7211	7492	4079	8296	8952	9044	7660	7837	9136	6635	8220	6220	6177
116	98	209	201	218	239	239	11394	195	232	574	10180	9177	9229	9334	9186	7736	8034	8694	8147	7229	8369	6522	11377
95	94	215	184	217	241	312	10590	253	224	231	9132	7845	9198	8627	8794	7661	8521	8709	7616	6429	8223	6074	10332
101	80	194	201	256	1785	4995	10982	247	8545	8982	9807	9538	8877	8461	8861	8804	9141	8856	7964	8182	8491	8190	9618
18794	23775	9226	28844	7843	24988	18841	25171	9406	12074	10586	11157	15765	15658	10404	7720	11448	10516	3475	12066	11089	7849	16043	42004
118	96	1693	22621	33447	33871	34388	33779	739	33020	33102	31931	32413	31787	31766	30733	32523	30583	32217	31322	32113	32586	33477	35455
108	96	1596	23182	33478	34793	34642	33352	5025	33279	32465	32430	32900	31758	32314	31095	32692	31784	32801	32093	33112	32748	32993	28219
138	93	774	942	876	1038	1855	34471	964	26152	34468	33388	32569	32410	32743	32126	33031	31911	33772	32228	32939	32914	35683	35064
91	92	8130	9157	6826	8866	8648	6286	7480	6946	8170	7211	7492	4079	8296	8952	9044	7660	7837	9136	6635	8220	6220	6177
113	110	941	21136	34573	35888	37324	35333	1004	34846	35000	34481	35049	33807	34023	34162	34641	34402	35030	34820	34684	34577	35993	36989
108	107	990	23948	35178	36668	35716	36330	6001	34838	35603	36077	35591	35886	35923	35440	35032	35275	34380	35666	35278	34725	36800	36629
133	133	38440	37761	39268	36282	37492	36178	37888	35399	38531	35944	36968	35123	37664	35445	36191	35183	36400	34292	36384	35398	38406	37804
116	148	38610	38228	38415	37876	38368	36746	37583	36952	36420	37812	36233	36758	37352	36413	37080	36892	36654	36852	36074	36592	37742	37489
Abc384_2	7049	FluoOptima	FMCA 384 1000	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
379	345	35166	31075	29012	36103	27439	25031	25435	25688	27212	26187	28508	29729	26826	32701	28567	30963	28217	33435	28057	31874	24422	27700
337	339	798	685	810	893	1172	38179	962	852	864	32735	28436	33237	31305	31647	27695	30834	31095	28304	23721	30034	22578	36440
538	346	463	496	679	3953	8499	34712	731	25421	32770	35434	26432	35440	32053	32305	28822	30525	24525	29852	32269	29546	32001	33346
393	341	6043	65000	65000	65000	65000	65000	18513	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
424	358	763	750	814	899	887	40246	724	852	2148	36279	33093	32547	33758	33343	28076	28674	31324	29215	26342	30149	23895	40224
337	339	798	685	810	893	1172	38179	962	852	864	32735	28436	33237	31305	31647	27695	30834	31095	28304	23721	30034	22578	36440
365	283	713	755	948	6720	18669	39160	914	31032	32077	35061	34117	31488	30729	31924	31766	32714	32210	28792	29684	30717	29558	34683
341	296	651	757	799	6148	34382	40637	989	34627	31761	40361	34536	34436	33658	32749	31427	30329	29370	29128	25716	30692	25223	28482
429	340	6380	65000	65000	65000	65000	65000	2806	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
393	341	6043	65000	65000	65000	65000	65000	18513	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
497	337	2944	3559	3276	3898	7020	65000	3611	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
91	92	8130	9157	6826	8866	8648	6286	7480	6946	8170	7211	7492	4079	8296	8952	9044	7660	7837	9136	6635	8220	6220	6177
403	392	3533	65000	65000	65000	65000	65000	3764	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
388	391	3738	65000	65000	65000	65000	65000	21959	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
477	471	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
414	505	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
Abc384_3	7050	FluoOptima	FMCA 384 800	5/11/2011 5:44	0	0	0	0	0	0	0	0	0	0	0								
184	33894	37583	34671	35453	34693	34542	33477	32995	32484	34058	32049	32428	31979	30498	24984	17004	20585	23959	27409	31696	30162	35916	34655
189	33311	36054	33759	34942	32503	31813	31395	32258	32012	31824	30604	31078	30244	31615	29580	32904	29248	31844	29045	32042	30591	35079	32069
167	35908	35906	35446	34938	34892	33691	32661	32718	30314	31634	30404	31864	31430	31473	31407	30878	29804	30136	31025	31892	31814	33152	34686
174	35463	36121	27707	35025	33685	33686	32587	32691	30859	29674	30019	30867	31244	30812	30932	22954	30348	30797	31279	31863	30334	33145	32716
173	34778	37053	35465	35546	34186	33917	32972	32854	32326	31927	30571	29825	31102	30687	30811	31587	30534	30834	30920	32584	30999	32296	33416
193	35968	33534	34692	35622	33937	33427	32688	31120	32188	30772	30879	30470	31080	28534	30893	31321	30151	29876	30936	31686	32657	34225	33603
173	34778	37053	35465	35546	34186	33917	32972	32854	32326	31927	30571	29825	31102	30687	30811	31587	30534	30834	30920	32584	30999	32296	33416
595	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
173	34778	37053	35465	35546	34186	33917	32972	32854	32326	31927	30571	29825	31102	30687	30811	31587	30534	30834	30920	32584	30999	32296	33416
177	27200	37329	36227	35929	26914	34553	34323	34028	34002	33403	32516	32260	32568	33171	32762	33448	23679	26897	32005	4530	33137	31872	32865
166	37613	38183	36053	36139	34322	34867	34643	34418	33873	34490	33254	32920	33838	34471	32734	33383	32017	34279	32294	33780	33380	35863	35032
