Package,Version,kind,href
schwartz97,0.0.6,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/schwartz97
lhs,0.15,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/lhs
RSMET,1.2.9,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/RSMET
ODMconverter,2.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/ODMconverter
EasyStrata,8.6,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/EasyStrata
SamplerCompare,1.2.7,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/SamplerCompare
FKF,0.1.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/FKF
pdmod,1.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/pdmod
doParallel,1.0.11,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/doParallel
odfWeave,0.8.4,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/odfWeave
futile.matrix,1.2.6,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/futile.matrix
geno2proteo,0.0.1,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/geno2proteo
pkgmaker,0.22,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/pkgmaker
biclique,1.0.1,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/biclique
krm,2016.7-9,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/krm
kyotil,2017.10-31,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/kyotil
R2GUESS,1.7,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/R2GUESS
hypergea,1.3.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/hypergea
knitr,1.18,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/knitr
micropan,1.1.2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/micropan
rcdk,3.4.5,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/rcdk
tawny.types,1.1.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/tawny.types
lambda.r,1.2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/lambda.r
Stickbreaker,1.0.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/Stickbreaker
archivist,2.2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/archivist
PlasmaMutationDetector,1.6.2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/PlasmaMutationDetector
FishResp,0.1.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/FishResp
doRNG,1.6.6,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/doRNG
ApacheLogProcessor,0.2.2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/ApacheLogProcessor
MetaSubtract,1.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/MetaSubtract
finch,0.1.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/finch
TTR,0.23-2,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/TTR
Rclusterpp,0.2.3,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/Rclusterpp
rngtools,1.2.4,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/rngtools
CompGLM,1.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/CompGLM
fingerprint,3.5.6,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/fingerprint
XLConnect,0.2-13,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/XLConnect
COMBIA,1.0.5,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/COMBIA
atsd,1.0.8441,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/atsd
CREAM,1.0.0,rlibro,https://github.com/kalibera/cran-checks/tree/master/rlibro/results/CREAM
